training_scope,target,model,rank,source_feature,importance,importance_normalized,signed_effect,encoded_feature_count,importance_type
property_type_0,price_per_m2,catboost,35,metro_count_5km,0.6443412238478179,0.006443412238478177,,1,model_feature_importance
property_type_0,price_per_m2,catboost,36,location_cluster_100,0.6321393451508396,0.006321393451508394,,88,model_feature_importance
property_type_0,price_per_m2,catboost,37,post_month,0.46335755360002884,0.004633575536000287,,1,model_feature_importance
property_type_0,price_per_m2,catboost,38,dining_room_bin,0.3941644152925049,0.003941644152925048,,1,model_feature_importance
property_type_0,price_per_m2,catboost,39,location_cluster_20,0.3434379773465489,0.0034343797734654883,,19,model_feature_importance
property_type_0,price_per_m2,catboost,40,post_is_weekend,0.13756504918960247,0.0013756504918960243,,1,model_feature_importance
property_type_0,price_per_m2,catboost,41,property_type_locality_population_density,0.0,0.0,,1,model_feature_importance
property_type_0,price_per_m2,catboost,42,property_type_length_m,0.0,0.0,,1,model_feature_importance
property_type_0,price_per_m2,catboost,43,property_type_distance_to_center_km,0.0,0.0,,1,model_feature_importance
property_type_0,price_per_m2,catboost,44,property_type_area_m2,0.0,0.0,,1,model_feature_importance
property_type_0,price_per_m2,catboost,45,property_type,0.0,0.0,,1,model_feature_importance
property_type_0,price_per_m2,catboost,46,property_type_width_m,0.0,0.0,,1,model_feature_importance
property_type_0,price_per_m2,catboost,47,property_type_num_floors,0.0,0.0,,1,model_feature_importance
property_type_0,price_per_m2,catboost,48,property_type_road_width_m,0.0,0.0,,1,model_feature_importance
property_type_0,price_per_m2,lightgbm,1,area_m2,3635.0,0.13462962962962963,,1,model_feature_importance
property_type_0,price_per_m2,lightgbm,2,road_width_m,1769.0,0.06551851851851852,,1,model_feature_importance
property_type_0,price_per_m2,lightgbm,3,width_m,1471.0,0.054481481481481485,,1,model_feature_importance
property_type_0,price_per_m2,lightgbm,4,length_m,1338.0,0.049555555555555554,,1,model_feature_importance
property_type_0,price_per_m2,lightgbm,5,locality_cv_target_median,1338.0,0.049555555555555554,,1,model_feature_importance
property_type_0,price_per_m2,lightgbm,6,num_floors,1316.0,0.048740740740740744,,1,model_feature_importance
property_type_0,price_per_m2,lightgbm,7,nearest_marketplace_km,1089.0,0.04033333333333333,,1,model_feature_importance
property_type_0,price_per_m2,lightgbm,8,lon,961.0,0.03559259259259259,,1,model_feature_importance
property_type_0,price_per_m2,lightgbm,9,num_bedrooms,909.0,0.033666666666666664,,1,model_feature_importance
property_type_0,price_per_m2,lightgbm,10,nearest_bus_stop_km,850.0,0.03148148148148148,,1,model_feature_importance
property_type_0,price_per_m2,lightgbm,11,nearest_school_km,843.0,0.03122222222222222,,1,model_feature_importance
property_type_0,price_per_m2,lightgbm,12,nearest_supermarket_km,778.0,0.028814814814814814,,1,model_feature_importance
property_type_0,price_per_m2,lightgbm,13,nearest_hospital_km,751.0,0.027814814814814817,,1,model_feature_importance
property_type_0,price_per_m2,lightgbm,14,post_weekday,715.0,0.02648148148148148,,1,model_feature_importance
property_type_0,price_per_m2,lightgbm,15,post_day_of_month,689.0,0.02551851851851852,,1,model_feature_importance
property_type_0,price_per_m2,lightgbm,16,nearest_mall_km,648.0,0.024,,1,model_feature_importance
property_type_0,price_per_m2,lightgbm,17,lat,627.0,0.02322222222222222,,1,model_feature_importance
property_type_0,price_per_m2,lightgbm,18,bus_stop_count_1km,624.0,0.02311111111111111,,1,model_feature_importance
property_type_0,price_per_m2,lightgbm,19,nearest_metro_km,622.0,0.023037037037037036,,1,model_feature_importance
property_type_0,price_per_m2,lightgbm,20,post_age_days,613.0,0.022703703703703705,,1,model_feature_importance
property_type_0,price_per_m2,lightgbm,21,locality_population_density,612.0,0.02266666666666667,,1,model_feature_importance
property_type_0,price_per_m2,lightgbm,22,distance_to_center_km,585.0,0.021666666666666667,,1,model_feature_importance
property_type_0,price_per_m2,lightgbm,23,school_count_3km,492.0,0.018222222222222223,,1,model_feature_importance
property_type_0,price_per_m2,lightgbm,24,locality_listing_count,436.0,0.016148148148148148,,1,model_feature_importance
property_type_0,price_per_m2,lightgbm,25,hospital_count_5km,374.0,0.013851851851851851,,1,model_feature_importance
property_type_0,price_per_m2,lightgbm,26,locality_cv_target_count,373.0,0.013814814814814814,,1,model_feature_importance
property_type_0,price_per_m2,lightgbm,27,locality,354.0,0.013111111111111112,,84,model_feature_importance
property_type_0,price_per_m2,lightgbm,28,location_cluster_50,348.0,0.012888888888888889,,45,model_feature_importance
property_type_0,price_per_m2,lightgbm,29,supermarket_count_3km,314.0,0.01162962962962963,,1,model_feature_importance
property_type_0,price_per_m2,lightgbm,30,location_cluster_100,237.0,0.008777777777777778,,88,model_feature_importance
