property_type,legal_status,num_floors,num_bedrooms,road_width_m,width_m,length_m,price_vnd,area_m2,dining_room_bin,kitchen_bin,terrace_bin,car_parking_bin,locality_square,locality_population_density,distance_to_center_km,nearest_school_km,school_count_3km,nearest_hospital_km,hospital_count_5km,nearest_marketplace_km,marketplace_count_3km,nearest_supermarket_km,supermarket_count_3km,nearest_mall_km,mall_count_3km,nearest_bus_stop_km,bus_stop_count_1km,nearest_metro_km
1,1,3.0,2.0,60.0,5.0,12.0,1500000000.0,60.0,1,1,1,1,16.51,12.613,12.748844955491514,0.2609978930055026,33.0,0.4285147574934188,10.0,0.6784635074841192,4.0,1.2385009323077854,6.0,0.4783697283733804,1.0,0.1335937074984079,33.0,1.47477409146557
1,1,7.0,7.0,20.0,12.5,15.5,107000000000.0,191.0,0,0,0,0,1.23,39.45,1.8341731692460648,0.1037729567112353,143.0,0.3167659159924683,74.0,0.2917832726058462,27.0,0.1248165769533943,100.0,1.4754329743928578,13.0,0.1220474644889992,50.0,2.0311407966409747
1,1,6.0,6.0,20.0,8.0,19.0,100000000000.0,140.0,0,0,0,0,3.04,15.468,0.6277042037044096,0.4752517013792162,114.0,0.3183914802084917,68.0,0.915369003541698,22.0,0.3312733645976148,97.0,0.690744449731313,15.0,0.0895344751277696,68.0,0.3523202858879943
1,1,7.0,14.0,20.0,11.0,20.0,50000000000.0,220.0,1,1,1,1,2.76,45.633,2.1822596604592133,0.1711869088091718,99.0,1.4231773041651654,47.0,0.3601758043190207,17.0,0.3160654149244814,56.0,2.343508123557825,12.0,0.0265506988051478,43.0,0.6903391017798891
1,1,5.0,6.0,3.0,5.5,15.0,7190000000.0,80.0,1,1,1,1,3.81,31.76,9.9193041191287,0.0447049768024632,62.0,2.1702782347422387,9.0,0.6533975509460673,9.0,0.1618420502101994,15.0,3.959198285045436,0.0,0.0882281879422681,31.0,5.088364417881627
1,1,5.0,7.0,40.0,8.0,25.0,117000000000.0,150.0,1,1,1,1,2.22,21.831,1.3842360927551391,0.1362858508209465,177.0,0.392725688709276,81.0,0.8309996539468081,44.0,0.306041499917031,114.0,0.4875412983036777,17.0,0.0903504268932904,90.0,1.56192760975934
1,1,3.0,4.0,20.0,4.0,23.0,99000000000.0,85.0,1,1,1,0,3.04,15.468,0.6277042037044096,0.4752517013792162,114.0,0.3183914802084917,68.0,0.915369003541698,22.0,0.3312733645976148,97.0,0.690744449731313,15.0,0.0895344751277696,68.0,0.3523202858879943
1,1,5.0,18.0,8.0,12.0,30.0,19500000000.0,300.0,1,1,1,1,14.9,8.433,10.565856638070445,0.6330433248470321,47.0,2.4636567759567782,6.0,1.665354276903947,3.0,0.0669799157972143,6.0,3.9813398579271593,0.0,0.4456586342511112,12.0,5.088364417881627
1,1,4.0,4.0,12.0,5.0,13.0,5100000000.0,65.0,0,0,0,0,1.71,51.515,2.555122100836077,0.2298394187696702,205.0,0.4407018928712138,85.0,0.3518938209246376,47.0,0.2930037730618011,108.0,0.8330653769317901,16.0,0.1440798145827994,55.0,2.5315941085926017
1,1,2.0,3.0,6.0,4.5,15.0,2970000000.0,67.0,1,1,1,0,3.37,38.239,5.46912316211403,0.1755650750818743,64.0,0.5239478647461463,29.0,0.2455413210050974,9.0,0.5342557500688416,21.0,0.5562563546935235,7.0,0.1171643981009367,51.0,4.531780440683517
1,1,2.0,4.0,15.0,4.0,15.0,16000000000.0,66.0,0,0,0,0,1.71,51.515,2.9847876645976847,0.2172206277002377,196.0,0.5496201087659982,86.0,0.5212756588833494,39.0,0.0851074392933488,84.0,1.2196991444370473,8.0,0.3633523318916373,39.0,2.980009421216706
1,1,4.0,5.0,8.0,6.0,15.0,21500000000.0,90.0,1,1,1,0,2.12,42.157,6.699574718241761,0.1095494216543243,110.0,0.601977425693506,37.0,0.5681151544977278,16.0,1.311416453662265,17.0,0.8329555566449584,5.0,0.1964914178004921,23.0,5.088364417881627
1,0,3.0,6.0,20.0,13.0,27.0,55000000000.0,351.0,0,0,0,0,19.65,3.494,8.107863130958895,0.6000846300525993,21.0,1.524086996049615,5.0,0.4037055825764102,6.0,0.4111098762258814,7.0,2.259969133675176,1.0,0.1253466986572062,12.0,4.775883638944245
1,0,4.0,10.0,20.0,8.0,3.0,12200000000.0,22.0,0,0,0,0,1.23,50.946,2.44074910241188,0.0989473603816921,142.0,0.6077150908310768,62.0,0.6173297645718273,20.0,0.3290326866051206,74.0,2.0832634559367755,11.0,0.5346105379488431,35.0,2.4962462509231447
1,1,2.0,2.0,60.0,4.0,5.0,5700000000.0,22.0,0,0,0,0,3.37,38.239,4.844897245825004,0.1446252794333038,75.0,0.6418370847924162,35.0,0.5696396859678009,10.0,0.8944871952221576,31.0,1.061857611424201,7.0,0.1514562078101606,41.0,4.004567351819027
1,1,2.0,5.0,20.0,6.0,38.0,10800000000.0,232.0,1,1,1,1,63.33,1.166,11.767632322396116,1.0512488061193104,10.0,3.7396481621354094,1.0,4.494660025436024,0.0,2.671110664596607,2.0,5.003439779735623,0.0,1.2981848213646403,0.0,5.088364417881627
1,0,4.0,4.0,30.0,4.0,18.0,68000000000.0,68.0,0,0,0,0,1.85,38.809,0.9030639858522528,0.1764317325313514,146.0,0.3786499075275946,88.0,0.3340491056014009,40.0,0.0243052720372051,101.0,0.3829654363777388,19.0,0.0311660268603045,104.0,0.1703670445237422
1,1,1.0,1.0,1.0,4.0,15.0,16500000000.0,59.0,1,1,1,1,2.12,42.157,6.699574718241761,0.1095494216543243,110.0,0.601977425693506,37.0,0.5681151544977278,16.0,1.311416453662265,17.0,0.8329555566449584,5.0,0.1964914178004921,23.0,5.088364417881627
