street,locality,region,old_address,lat,lon,nearest_school_km,school_count_3km,nearest_hospital_km,hospital_count_5km,nearest_marketplace_km,marketplace_count_3km,nearest_supermarket_km,supermarket_count_3km,nearest_mall_km,mall_count_3km,nearest_bus_stop_km,bus_stop_count_1km,nearest_metro_km,metro_count_5km
đường kênh tân hóa,phường tân phú,hồ chí minh,"Đường Kênh Tân Hóa, Phường Tân Phú, Quận Tân Phú, Hồ Chí Minh (cũ)",10.7761892,106.6384144,0.2985284745369557,164.0,0.5429098623252844,61.0,0.4097508548051484,32.0,0.4443571518877237,33.0,3.0527421931343577,0.0,0.0495025649011573,46.0,,0.0
đường nguyễn sơn,phường phú thọ hòa,hồ chí minh,"Đường Nguyễn Sơn, Phường Phú Thọ Hòa, Quận Tân Phú, Hồ Chí Minh (cũ)",10.7816272,106.6325645,0.5437001786480844,138.0,1.043868170816649,45.0,0.7408236185827164,27.0,0.4174937262587679,30.0,2.7826861671501675,1.0,0.2677999609885199,43.0,,0.0
đường trương văn thành,phường tăng nhơn phú,hồ chí minh,"Đường Trương Văn Thành, Phường Hiệp Phú, Thành phố Thủ Đức, Hồ Chí Minh (cũ)",10.8465784,106.7937641,0.2609978930055026,33.0,0.4285147574934188,10.0,0.6784635074841192,4.0,1.2385009323077854,6.0,0.4783697283733804,1.0,0.1335937074984079,33.0,1.47477409146557,6.0
đường phan huy ích,phường an hội tây,hồ chí minh,"Đường Phan Huy Ích, Phường 12, Quận Gò Vấp, Hồ Chí Minh (cũ)",10.8421489,106.6386769,0.0447049768024632,62.0,2.1702782347422387,9.0,0.6533975509460673,9.0,0.1618420502101994,15.0,3.959198285045436,0.0,0.0882281879422681,31.0,,0.0
đường bùi công trừng,phường thới an,hồ chí minh,"Đường Bùi Công Trừng, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh (cũ)",10.865134,106.6638867,0.6330433248470321,47.0,2.4636567759567782,6.0,1.665354276903947,3.0,0.0669799157972143,6.0,3.9813398579271593,0.0,0.4456586342511112,12.0,,0.0
đường trần quang diệu,phường nhiêu lộc,hồ chí minh,"Đường Trần Quang Diệu, Phường 14, Quận 3, Hồ Chí Minh (cũ)",10.7834566,106.6784982,0.2298394187696702,205.0,0.4407018928712138,85.0,0.3518938209246376,47.0,0.2930037730618011,108.0,0.8330653769317901,16.0,0.1440798145827994,55.0,2.5315941085926017,4.0
đường trần hưng đạo,phường an đông,hồ chí minh,"Đường Trần Hưng Đạo, Phường 6, Quận 5, Hồ Chí Minh (cũ)",10.7584265,106.6727204,0.1718438296278109,193.0,0.0808248175898799,81.0,0.0685624175584255,51.0,0.0700867890565216,70.0,0.0913558508966055,13.0,0.1041175126627032,91.0,3.0810228719302075,3.0
đường lý chính thắng,phường nhiêu lộc,hồ chí minh,"Đường Lý Chính Thắng, Phường 9, Quận 3, Hồ Chí Minh (cũ)",10.7857564,106.6751204,0.2172206277002377,196.0,0.5496201087659982,86.0,0.5212756588833494,39.0,0.0851074392933488,84.0,1.2196991444370473,8.0,0.3633523318916373,39.0,2.980009421216706,4.0
đường âu cơ,phường tân bình,hồ chí minh,"Đường Âu Cơ, Phường 14, Quận Tân Bình, Hồ Chí Minh (cũ)",10.8034398,106.6458349,0.1095494216543243,110.0,0.601977425693506,37.0,0.5681151544977278,16.0,1.311416453662265,17.0,0.8329555566449584,5.0,0.1964914178004921,23.0,,0.0
đường nguyễn bình,xã hiệp phước,hồ chí minh,"Đường Nguyễn Bình, Xã Nhơn Đức, Huyện Nhà Bè, Hồ Chí Minh (cũ)",10.6710495,106.7116789,1.0512488061193104,10.0,3.7396481621354094,1.0,4.494660025436024,0.0,2.671110664596607,2.0,,0.0,1.2981848213646403,0.0,,0.0
đường vũ tông phan,phường an khánh,hồ chí minh,"Đường Vũ Tông Phan, Phường An Phú, Thành phố Thủ Đức, Hồ Chí Minh (cũ)",10.7850885,106.7293654,0.4644541079433794,53.0,1.7631624559602346,30.0,0.9995120096449168,11.0,0.8095548246772732,32.0,1.6542081149097525,6.0,0.0886730542335018,24.0,1.6366304217427186,8.0
đường hậu giang,phường phú lâm,hồ chí minh,"Đường Hậu Giang, Phường 12, Quận 6, Hồ Chí Minh (cũ)",10.747209,106.6316529,0.1549744697832368,117.0,0.3277436737634981,42.0,0.2035684770810963,34.0,0.3435232818599611,17.0,1.8675634852505048,3.0,0.1906200652254097,47.0,,0.0
đường phan đăng lưu,phường đức nhuận,hồ chí minh,"Đường Phan Đăng Lưu, Phường 5, Quận Phú Nhuận, Hồ Chí Minh (cũ)",10.8050189,106.6856946,0.1175141904538145,128.0,0.1697385585509312,52.0,0.4514166541448588,18.0,0.7759415491050107,56.0,2.3497406593452834,6.0,0.1136563562267956,32.0,3.4075937654659247,5.0
đường bành văn trân,phường tân sơn nhất,hồ chí minh,"Đường Bành Văn Trân, Phường 7, Quận Tân Bình, Hồ Chí Minh (cũ)",10.7979113,106.658574,0.3470729602077848,132.0,0.5175633002194819,69.0,0.5693079348823914,19.0,0.4864312428345236,31.0,0.6646272756430183,4.0,0.1006491104024628,39.0,,0.0
đường số 1,phường tân mỹ,hồ chí minh,"Đường số 1, Phường Tân Phú, Quận 7, Hồ Chí Minh (cũ)",10.7350015,106.7194453,0.0003922165909061,63.0,0.1965857978662085,28.0,0.1779353893879265,8.0,0.7046650973093038,24.0,0.670459228558265,3.0,0.1464682080905137,32.0,4.623047390728333,2.0
đường số 9,phường tân mỹ,hồ chí minh,"Đường Số 9, Phường Tân Phú, Quận 7, Hồ Chí Minh (cũ)",10.7067809,106.7258755,0.785620834479975,31.0,2.2547299225223063,13.0,1.3473780478397106,2.0,1.2882225923130557,9.0,2.578995608808469,1.0,0.537320686456899,5.0,,0.0
đường lữ gia,phường phú thọ,hồ chí minh,"Đường Lữ Gia, Phường 15, Quận 11, Hồ Chí Minh (cũ)",10.772649,106.6570255,0.1500869901876,212.0,0.339646569720307,78.0,0.8602269714341313,56.0,0.4844446637302135,51.0,1.390305653240416,8.0,0.0697432883519068,54.0,4.472571882131149,2.0
đường s7,phường tây thạnh,hồ chí minh,"Đường S7, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh (cũ)",10.8131664,106.6201388,0.1821452440188882,81.0,1.0163773460507466,10.0,0.848624625942906,7.0,1.282671143495685,16.0,1.3474523036797637,1.0,0.2224079023734496,26.0,,0.0
đường nguyễn văn khối,phường thông tây hội,hồ chí minh,"Đường Nguyễn Văn Khối, Phường Thông Tây Hội, Quận Gò Vấp, Hồ Chí Minh (cũ)",10.8438046,106.6481171,0.3183624491735607,59.0,1.786365975753308,11.0,0.4437918028379066,6.0,0.5238685647489925,9.0,3.10524390270197,0.0,0.4397728200411307,26.0,,0.0
đường số 13,phường long bình,hồ chí minh,"Đường Số 13, Phường Long Bình, Thành phố Thủ Đức, Hồ Chí Minh (cũ)",10.8448502,106.8190284,0.0506488984112523,13.0,0.8987143071967386,5.0,2.945371108484037,1.0,2.151254107218704,2.0,2.044204649160353,3.0,0.1141631512406887,17.0,3.070556957679083,3.0
đường bờ kênh,xã thái mỹ,hồ chí minh,"Đường Bờ Kênh, Xã Trung Lập Thượng, Huyện Củ Chi, Hồ Chí Minh (cũ)",11.0365575,106.4347063,2.4433735524719333,1.0,,0.0,,0.0,3.547223731894323,0.0,,0.0,0.8540067379462465,2.0,,0.0
đường nguyễn kiệm,phường đức nhuận,hồ chí minh,"Đường Nguyễn Kiệm, Phường 4, Quận Phú Nhuận, Hồ Chí Minh (cũ)",10.8078497,106.6784641,0.1283730028407936,115.0,0.9976765413891644,49.0,0.3933512132958154,15.0,0.1047726338595456,47.0,1.50990580457967,9.0,0.0851557056999508,32.0,4.255770654939161,5.0
đường hoàng văn thụ,phường đức nhuận,hồ chí minh,"Đường Hoàng Văn Thụ, Phường 9, Quận Phú Nhuận, Hồ Chí Minh (cũ)",10.8059609,106.6784893,0.2466902625260006,126.0,0.919651865146766,54.0,0.2212136135986804,16.0,0.3090165017521094,51.0,1.6035343464755736,9.0,0.0984639542166413,34.0,4.193787746510512,5.0
đường cư xá lữ gia,phường phú thọ,hồ chí minh,"Đường Cư Xá Lữ Gia, Phường 15, Quận 11, Hồ Chí Minh (cũ)",10.7715241,106.6558031,0.1809517919295744,217.0,0.4169091048220451,76.0,0.907591972433718,53.0,0.3167615229025707,43.0,1.508602643030715,7.0,0.1413756807091568,54.0,4.602759196197861,2.0
đường phạm viết chánh,phường thạnh mỹ tây,hồ chí minh,"Đường Phạm Viết Chánh, Phường 19, Quận Bình Thạnh, Hồ Chí Minh (cũ)",10.7909133,106.7128495,0.1622012863692637,96.0,1.516140441830048,42.0,0.5930928981153903,16.0,0.142192368565362,59.0,2.0676437362623883,12.0,0.1962604054485045,32.0,0.6386063177538202,7.0
đường số 1,phường an lạc,hồ chí minh,"Đường Số 1, Phường Bình Trị Đông B, Quận Bình Tân, Hồ Chí Minh (cũ)",10.7381994,106.6148874,0.213067937291196,59.0,0.2680604817088338,10.0,0.6955967318339753,17.0,0.3737173975421404,9.0,0.5936982882894825,1.0,0.0757417755751416,24.0,,0.0
đường vườn lài,phường an phú đông,hồ chí minh,"Đường Vườn Lài, Phường An Phú Đông, Quận 12, Hồ Chí Minh (cũ)",10.8310498,106.6928292,0.5321586525967205,52.0,0.8178699645932508,22.0,1.0357117356369523,7.0,0.3966222392096344,26.0,1.5045985230981511,5.0,0.5231197038217131,15.0,4.597102795147355,2.0
đường tỉnh lộ 43,phường tam bình,hồ chí minh,"Đường Tỉnh Lộ 43, Phường Tam Bình, Thành phố Thủ Đức, Hồ Chí Minh (cũ)",10.8931658,106.7215865,1.632671370328374,17.0,0.6777998876239275,7.0,0.7077832867628067,4.0,2.793761945312581,2.0,4.45552420940537,0.0,0.0622742008879633,7.0,,0.0
đường phú thuận,phường phú thuận,hồ chí minh,"Đường Phú Thuận, Phường Phú Thuận, Quận 7, Hồ Chí Minh (cũ)",10.7321507,106.7410251,0.4700407231185224,30.0,1.066758699470303,12.0,0.7189492585290755,2.0,1.3366664833762396,7.0,1.5865548734696675,2.0,0.9780943034357062,2.0,,0.0
đường số 2,phường tân tạo,hồ chí minh,"Đường Số 2, Phường Tân Tạo A, Quận Bình Tân, Hồ Chí Minh (cũ)",10.7397838,106.5945154,1.3846578658146942,27.0,1.395871078314204,11.0,1.172822428157669,4.0,1.4991250395090674,7.0,1.9325104484435065,1.0,0.5184428930907189,7.0,,0.0
đường trường chinh,phường đông hưng thuận,hồ chí minh,"Đường Trường Chinh, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh (cũ)",10.8336411,106.6223482,0.1461111012793831,55.0,0.2188544033434083,6.0,0.3524991161992815,8.0,0.2606197971699321,14.0,3.613866341753112,0.0,0.1912376120363258,24.0,,0.0
đường an phú đông 9,phường an phú đông,hồ chí minh,"Đường An Phú Đông 9, Phường An Phú Đông, Quận 12, Hồ Chí Minh (cũ)",10.8601395,106.708913,1.3478807993799584,16.0,1.0323828428236983,9.0,1.3658698276143053,4.0,1.4242223690331617,4.0,3.830475299170533,0.0,0.1681522962772216,8.0,,0.0
đường lê văn lương,xã nhà bè,hồ chí minh,"Đường Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, Hồ Chí Minh (cũ)",10.7016318,106.7023993,0.3179625064332644,20.0,0.4296761603740437,14.0,3.838582570749779,0.0,1.6895512367496972,5.0,3.132126502425767,0.0,0.253431840528571,11.0,,0.0
đường số 44,phường tân tạo,hồ chí minh,"Đường Số 44, Phường Tân Tạo, Quận Bình Tân, Hồ Chí Minh (cũ)",10.7525579,106.6002832,0.2765260143436356,34.0,1.3545429973974157,10.0,1.0272544956978753,7.0,0.1680380582957659,11.0,1.6770297490835455,1.0,0.2667832630678945,25.0,,0.0
